query,item
唐揚げ,ハイボール
枝豆,ビール
ポテトフライ,コーラ
寿司,日本酒
焼き鳥(塩),レモンサワー
焼き鳥(タレ),生ビール
刺身,冷酒
餃子,生ビール
たこ焼き,チューハイ
もつ煮込み,ホッピー
冷奴,日本酒
おでん,熱燗
厚揚げ,焼酎
だし巻き卵,日本酒
アジフライ,ハイボール
コロッケ,ビール
カキフライ,白ワイン
イカ焼き,レモンサワー
ホッケ,焼酎
ししゃも,ビール
サバ味噌,日本酒
塩サバ,焼酎
砂肝,レモンサワー
レバ串,赤ワイン
ハツ串,ハイボール
つくね,生ビール
豚バラ串,ハイボール
牛串,赤ワイン
手羽先,ハイボール
唐辛子系おつまみ,ハイボール
キムチ,マッコリ
ナムル,マッコリ
チャンジャ,ハイボール
漬物盛り合わせ,焼酎
たたききゅうり,チューハイ
塩キャベツ,レモンサワー
ポテサラ,ビール
マカロニサラダ,ビール
明太ポテサラ,ハイボール
チーズ盛り,白ワイン
生ハム,白ワイン
サラミ,赤ワイン
ピクルス,白ワイン
ピザ,赤ワイン
マルゲリータ,白ワイン
カルパッチョ,白ワイン
唐揚げ南蛮,ハイボール
油淋鶏,ハイボール
酢豚,ハイボール
回鍋肉,ハイボール
麻婆豆腐,ハイボール
青菜炒め,ビール
春巻き,ビール
シュウマイ,ビール
小籠包,ビール
エビチリ,ハイボール
海老マヨ,ハイボール
焼きそば,ハイボール
ソース焼きそば,ハイボール
塩焼きそば,レモンサワー
焼うどん,ハイボール
たぬき豆腐,日本酒
湯豆腐,日本酒
麻婆春雨,ハイボール
ニラ玉,ビール
もやしナムル,マッコリ
トマトスライス,チューハイ
アボカド刺し,白ワイン
梅水晶,焼酎
ほたるいか沖漬け,日本酒
からすみ,日本酒
明太子,日本酒
いくらおろし,日本酒
なめろう,日本酒
あん肝ポン酢,日本酒
カツオのたたき,日本酒
サーモン刺し,白ワイン
マグロぶつ,日本酒
〆サバ,日本酒
焼き牡蠣,白ワイン
ホルモン炒め,ハイボール
牛すじ煮込み,日本酒
ガツポン,焼酎
チキン南蛮,ハイボール
ミックスナッツ,ウイスキー
フライドチキン,ハイボール
オニオンリング,ビール
ガーリックシュリンプ,白ワイン
バッファローウィング,ハイボール
枝豆ペペロンチーノ,ビール
ペペロンチーノ,白ワイン
カルボナーラ,白ワイン
ボロネーゼ,赤ワイン
ラザニア,赤ワイン
ミートボール,赤ワイン
ハンバーグ,赤ワイン
ステーキ,赤ワイン
ローストビーフ,赤ワイン
生牡蠣,白ワイン
カプレーゼ,白ワイン
シーザーサラダ,白ワイン
ポテトチーズ焼き,白ワイン
ガーリックトースト,白ワイン
ガーリック枝豆,ビール
塩辛,日本酒
いかの塩辛,日本酒
ほっけ開き,焼酎
うなぎ蒲焼,日本酒
鰻巻き,日本酒
天ぷら盛り合わせ,日本酒
海老天,日本酒
キス天,日本酒
野菜天,日本酒
からあげネギソース,ハイボール
ユーリンチー,ハイボール
よだれ鶏,ハイボール
棒棒鶏,ビール
ゴーヤチャンプルー,泡盛
ソーキ,泡盛
タコライス,ビール
ソーセージ盛り,ハイボール
ジャーマンポテト,ビール
バターコーン,ビール
焼きトウモロコシ,ビール
焼き銀杏,日本酒
焼きなす,日本酒
しいたけ焼き,日本酒
エリンギバター,ビール
アスパラベーコン,ハイボール
ベーコンエッグ,ハイボール
ハムカツ,ハイボール
メンチカツ,ハイボール
チキンカツ,ハイボール
カツサンド,ハイボール
おにぎり（鮭）,緑茶ハイ
おにぎり（梅）,緑茶ハイ
焼きおにぎり,日本酒
お茶漬け（鮭）,日本酒
お茶漬け（梅）,日本酒
炒飯,ハイボール
天津飯,ハイボール
唐揚げ定食,ハイボール
冷やしトマト,チューハイ
