item_id,name,kana,category,price,description,tags,allergens,season,pairings
0,唐揚げ,からあげ,揚げ物,580,外はカリッと中はジューシーな鶏の唐揚げ。,"ジューシー,にんにく,ボリューム","小麦,卵",通年,"ハイボール,ビール"
1,ポテトサラダ,ぽてとさらだ,サラダ,480,手作り感たっぷりの定番ポテサラ。,"じゃがいも,まろやか,家庭的",卵,通年,"ビール,チューハイ"
2,枝豆,えだまめ,おつまみ,380,塩ゆでされたシンプルな枝豆。,"塩味,さっぱり,定番",,夏,ビール
3,冷やしトマト,ひやしとまと,おつまみ,420,冷たく冷やした新鮮なトマトをスライス。,"さっぱり,ヘルシー",,夏,"サワー,焼酎"
4,出汁巻き卵,だしまきたまご,卵料理,550,ふんわり優しい味わいの出汁巻き卵。,"ふわふわ,和風,甘め",卵,通年,"日本酒,ビール"
5,刺身盛り合わせ,さしみもりあわせ,刺身,1280,旬の鮮魚を盛り合わせました。,"新鮮,魚介,贅沢",魚介,通年,"日本酒,焼酎"
6,チーズ揚げ,ちーずあげ,揚げ物,520,とろけるチーズを包んで揚げた一品。,"チーズ,濃厚,熱々","小麦,乳",通年,"ワイン,ビール"
7,おでん盛り合わせ,おでんもりあわせ,煮込み,880,冬限定のおでん盛り合わせ。,"大根,卵,こんにゃく,あったか","卵,大豆",冬,日本酒
8,焼き鳥盛り合わせ,やきとりもりあわせ,焼き物,780,定番の焼き鳥を盛り合わせで。,"鶏肉,香ばしい,炭火",小麦,通年,"ビール,ハイボール"
9,漬物盛り合わせ,つけものもりあわせ,漬物,420,さっぱりとしたお漬物の盛り合わせ。,"酸味,さっぱり,口直し",,通年,"日本酒,焼酎"
